"id","wantedAuthNo","title","companyName","region","workType","payText","qualificationText","description","status","deadlineDate","postedDate","source","sourceProvider","sourceUrl","infoTypeCd","infoTypeGroup","createdAt","updatedAt"
"work24-20260713030741","20260713030741","2026년 창원문화재단 비상근 임원(이사·감사) 공개모집 공고","창원문화재단","","","회사내규에 따름","","2026년 창원문화재단 비상근 임원(이사·감사) 공개모집 공고 / 회사내규에 따름","active","2026-07-22","2026-07-15","work24","클린아이","https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=20260713030741&infoTypeCd=CLE&infoTypeGroup=tb_workinfocle","CLE","tb_workinfocle","2026-07-15T00:00:00+09:00","2026-07-15T00:00:00+09:00"
"work24-20260706010709","20260706010709","(재)김해문화관광재단 김해가야테마파크 주말 초단시간 노동자(의무실)...","김해문화관광재단","","","회사내규에 따름","","(재)김해문화관광재단 김해가야테마파크 주말 초단시간 노동자(의무실)... / 회사내규에 따름","active","2026-07-22","2026-07-15","work24","클린아이","https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=20260706010709&infoTypeCd=CLE&infoTypeGroup=tb_workinfocle","CLE","tb_workinfocle","2026-07-15T00:00:00+09:00","2026-07-15T00:00:00+09:00"
"work24-20260709020753","20260709020753","기간제근로자 수시 채용 공고","전주시시설관리공단","","","회사내규에 따름","","기간제근로자 수시 채용 공고 / 회사내규에 따름","active","2026-07-20","2026-07-15","work24","클린아이","https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=20260709020753&infoTypeCd=CLE&infoTypeGroup=tb_workinfocle","CLE","tb_workinfocle","2026-07-15T00:00:00+09:00","2026-07-15T00:00:00+09:00"
"work24-20260706100748","20260706100748","2026년 제2회 계룡시문화관광재단 기간제근로자(병영체험관 운영기획...","재단법인 계룡시문화관광재단","","","회사내규에 따름","","2026년 제2회 계룡시문화관광재단 기간제근로자(병영체험관 운영기획... / 회사내규에 따름","active","2026-07-22","2026-07-15","work24","클린아이","https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=20260706100748&infoTypeCd=CLE&infoTypeGroup=tb_workinfocle","CLE","tb_workinfocle","2026-07-15T00:00:00+09:00","2026-07-15T00:00:00+09:00"
"work24-54383525","54383525","(주)하이비스타 프렌차이즈 영업 상반기 채용공고","주식회사 하이비스타","서울 송파구","주5일","연봉 3,000 만원 ~ 3,000 만원","경력무관 대졸(2~3년)","(주)하이비스타 프렌차이즈 영업 상반기 채용공고 / 경력무관 대졸(2~3년) / 연봉 3,000 만원 ~ 3,000 만원 / 서울 송파구","active","2026-09-04","2026-07-15","work24","사람인","https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54383525&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun","CSI","tb_workinfogubun","2026-07-15T00:00:00+09:00","2026-07-15T00:00:00+09:00"
"work24-54416530","54416530","B2B영업 및 신규 고객 발굴 경력사원 채용(일본어 능통자)","스크럼코리아주식회사","서울 금천구","주5일","회사내규에 따름","경력2년 대졸(2~3년)","B2B영업 및 신규 고객 발굴 경력사원 채용(일본어 능통자) / 경력2년 대졸(2~3년) / 회사내규에 따름 / 서울 금천구","active","2026-08-08","2026-07-15","work24","사람인","https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54416530&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun","CSI","tb_workinfogubun","2026-07-15T00:00:00+09:00","2026-07-15T00:00:00+09:00"
"work24-54430314","54430314","대관령신협 신규/경력 직원 채용","대관령신용협동조합","강원 평창군","","연봉 3,700 만원 ~ 3,700 만원","경력무관 학력무관","대관령신협 신규/경력 직원 채용 / 경력무관 학력무관 / 연봉 3,700 만원 ~ 3,700 만원 / 강원 평창군","active","2026-08-05","2026-07-15","work24","사람인","https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54430314&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun","CSI","tb_workinfogubun","2026-07-15T00:00:00+09:00","2026-07-15T00:00:00+09:00"
"work24-54457835","54457835","(주)이엔비에어 회전익 조종사 채용","(주)이엔비에어","충북 단양군","","회사내규에 따름","경력5년 학력무관","(주)이엔비에어 회전익 조종사 채용 / 경력5년 학력무관 / 회사내규에 따름 / 충북 단양군","active","2026-08-31","2026-07-15","work24","사람인","https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54457835&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun","CSI","tb_workinfogubun","2026-07-15T00:00:00+09:00","2026-07-15T00:00:00+09:00"
"work24-298072","298072","2026년도 제3회 우정사업본부 우정9급(집배) 공무원 경력경쟁채용...","과학기술정보통신부 우정사업본부","","","회사내규에 따름","","2026년도 제3회 우정사업본부 우정9급(집배) 공무원 경력경쟁채용... / 회사내규에 따름","active","2026-07-27","2026-07-15","work24","나라일터","https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=298072&infoTypeCd=GOJ&infoTypeGroup=tb_workinfonara","GOJ","tb_workinfonara","2026-07-15T00:00:00+09:00","2026-07-15T00:00:00+09:00"
"work24-298063","298063","2026학년도 강화여자중학교 보건 기간제 교원 채용","인천광역시교육청 인천광역시강화교육지원청 강화여자중학교","","","회사내규에 따름","","2026학년도 강화여자중학교 보건 기간제 교원 채용 / 회사내규에 따름","active","2026-07-19","2026-07-15","work24","나라일터","https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=298063&infoTypeCd=GOJ&infoTypeGroup=tb_workinfonara","GOJ","tb_workinfonara","2026-07-15T00:00:00+09:00","2026-07-15T00:00:00+09:00"
